error_value;true_value
ingered wärnersson (s);ingegerd wärnersson (s)
lars stjernström (s);lars stjernkvist (s)
lars hjertén (s);lars hjertén (m)
lars bergqvist (s);jan bergqvist (s)
kunt billing (m);knut billing (m)
margreta andersson (c);margareta andersson (c)
margareta wiklund (kd);margareta viklund (kd)
margareta vilklund (kd);margareta viklund (kd)
margareta ceder-feldt (m);margareta cederfelt (m)
marita ulvskog (m);marita ulvskog (s)
marietta de pourbaix-lundin (s);marietta de pourbaix-lundin (m)
peter wiebull bernström (m);peter weibull bernström (m)
per-axel sahlberg (s);pär-axel sahlberg (s)
nnelie enochson (kd);annelie enochson (kd)
nils-erik söderqvist (v);nils-erik söderqvist (s)
pär-axel sahlgren (s);pär-axel sahlberg (s)
sven bergstöm (c);sven bergström (c)
staffan attefall (kd);stefan attefall (kd)
ulf björkman (s);jan björkman (s)
helena hö-ij (kd);helena höij (kd)
margir gennser (m);margit gennser (m)
margateta winberg (s);margareta winberg (s)
kerstin hei-nemann (l);kerstin heinemann (l)
